index,Movies,P_Genre,S_Genre,T_Genre,Cluster_ID
833,underworld: awakening,2,13,10,88
834,#saraitda,2,15,10,235
835,thunder force,2,0,15,4
836,hitman,2,2,6,5
837,takers,2,2,6,5
838,south of heaven,2,2,9,3
839,mad max beyond thunderdome,2,0,16,1
840,buffy the vampire slayer,2,1,8,42
841,maze runner: the scorch trials,2,0,16,1
842,shoot 'em up,2,1,6,49
843,the dark tower,2,0,8,21
844,amsterdamned,2,2,10,45
845,"10,000 bc",2,0,9,7
846,against all odds,2,0,4,156
847,body of lies,2,15,6,16
848,clear and present danger,2,2,9,3
849,jungle,2,0,14,124
850,the electric state,2,0,9,7
851,midnight run,2,1,4,6
852,the life aquatic with steve zissou,2,0,15,4
853,spawn,2,15,10,235
854,khuda haafiz,2,2,9,3
855,the net,2,2,9,3
856,sweet girl,2,15,6,16
857,ghost rider: spirit of vengeance,2,13,6,43
858,maximum overdrive,2,1,10,23
859,crank,2,2,6,5
860,wild hogs,2,0,15,4
861,æon flux,2,0,16,1
862,guns akimbo,2,1,4,6
863,beverly hills cop iii,2,1,4,6
864,dante's peak,2,0,6,313
865,the iron giant,4,3,3,286
866,wolf hound,2,0,2,457
867,shadow in the cloud,2,16,2,105
868,taxi,2,1,4,6
869,once upon a time in mexico,2,2,6,5
870,batoru rowaiaru,2,0,9,7
871,superman ii,2,0,16,1
872,clean,2,2,9,3
873,xxx: return of xander cage,2,0,6,313
875,speed 2: cruise control,2,0,4,156
876,mechanic: resurrection,2,0,4,156
877,cobra,2,2,6,5
878,i onde dager,2,1,10,23
879,howard the duck,2,0,15,4
880,grimsby,2,0,15,4
881,gangster squad,2,2,9,3
883,the man in the iron mask,2,0,9,7
884,busanhaeng 2: bando,2,16,6,443
885,the last dragon,2,1,9,26
886,3 days to kill,2,15,6,16
887,revenge,2,16,6,443
888,machete kills,2,2,6,5
889,here comes the boom,2,1,17,82
890,speed racer,2,0,15,4
891,the devil's own,2,2,9,3
892,heart of stone,2,2,6,5
893,the 5th wave,2,0,16,1
894,machete,2,2,6,5
895,the killer,2,2,9,3
896,transcendence,2,15,16,27
897,safe,2,2,6,5
898,ran,2,15,2,291
899,serbuan maut 2: berandal,2,2,6,5
900,enter the dragon,2,2,9,3
901,lethal weapon 2,2,2,6,5
902,the girl in the spider's web,2,2,9,3
903,lara croft tomb raider: the cradle of life,2,0,8,21
904,a walk among the tombstones,2,2,9,3
905,the adventures of tintin,4,3,3,286
906,r.i.p.d.,2,0,15,4
907,rambo iii,2,0,6,313
908,pushpa: the rise - part 1,2,0,4,156
909,the edge,2,0,9,7
910,i am number four,2,0,16,1
911,land of the lost,2,0,15,4
912,seppuku,2,15,5,22
913,tears of the sun,2,15,6,16
914,4: rise of the silver surfer,2,0,8,21
915,the mechanic,2,2,6,5
916,gemini man,2,0,16,1
917,the rundown,2,0,15,4
918,scouts guide to the zombie apocalypse,2,1,10,23
919,rogue,2,15,10,235
920,daybreakers,2,16,16,391
921,act of valor,2,0,6,313
922,corrective measures,2,4,6,140
923,beowulf,4,3,3,286
924,assassination nation,2,1,4,6
925,tower heist,2,1,4,6
926,the call,2,0,4,156
927,bad boys ii,2,1,4,6
928,k.g.f: chapter 1,2,2,9,3
929,the sorcerer's apprentice,2,0,18,2
930,shamshera,2,0,9,7
931,cold pursuit,2,1,4,6
932,crimson tide,2,15,6,16
933,cowboys &amp; aliens,2,4,6,140
934,johnny mnemonic,2,15,16,27
935,the 13th warrior,2,0,7,58
936,mortdecai,2,0,15,4
937,rise of the guardians,4,3,3,286
938,spy kids 3: game over,2,0,15,4
939,injustice,4,3,3,286
940,the dead pool,2,2,5,37
941,johnny english,2,0,15,4
942,yoga hosers,2,1,10,23
943,dangal,2,12,9,17
944,violent night,2,1,4,6
945,kôkaku kidôtai,4,3,4,57
946,the jackal,2,2,9,3
947,blackhat,2,2,6,5
948,the beastmaster,2,0,8,21
949,the scorpion king,2,0,8,21
950,lost in space,2,0,18,2
951,surrogates,2,4,6,140
952,the spiderwick chronicles,2,0,9,7
953,the contract,2,2,9,3
954,the host,2,0,9,7
955,doomsday,2,4,6,140
956,the last boy scout,2,1,4,6
957,"batman: the long halloween, part one",4,3,4,57
958,the promise,2,0,9,7
959,extinction,2,15,16,27
960,the velocipastor,2,0,15,4
961,the guns of navarone,2,0,9,7
962,robocop 2,2,2,16,474
963,starcrash,2,0,16,1
964,tayna pechati drakona,2,0,18,2
965,rush hour 2,2,1,4,6
966,johnny english reborn,2,0,15,4
967,the last witch hunter,2,0,8,21
968,mat kilau,2,0,9,7
969,end of days,2,13,10,88
970,open range,2,15,0,14
971,untitled star trek sequel,2,0,5,52
972,jack the giant slayer,2,0,8,21
973,sonic the hedgehog 3,4,3,3,286
974,rocky balboa,2,15,17,395
975,eragon,2,0,18,2
976,the karate kid part ii,2,10,17,80
977,30 days of night,2,0,10,459
978,repo man,2,1,4,6
979,drive angry,2,13,6,43
980,the pacifier,2,1,9,26
981,the angry birds movie 2,4,3,3,286
982,cellular,2,2,6,5
983,unknown,2,7,6,25
985,rush hour 3,2,1,4,6
986,nightbreed,2,13,10,88
987,only god forgives,2,2,9,3
988,patriots day,2,2,9,3
989,lake placid,2,1,10,23
990,mr. right,2,1,0,8
991,revolver,2,2,9,3
992,taken 3,2,2,6,5
993,hitman: agent 47,2,2,6,5
994,ransom,2,2,6,5
995,faster,2,2,9,3
996,the negotiator,2,2,9,3
997,defiance,2,15,7,379
998,backdraft,2,15,5,22
999,black death,2,15,10,235
1000,becky,2,2,9,3
1001,after earth,2,0,16,1
1002,last knights,2,15,7,379
1003,the great race,2,0,15,4
1004,the poseidon adventure,2,0,9,7
1005,zathura: a space adventure,2,0,15,4
1006,black rain,2,2,6,5
1007,shaft,2,1,4,6
1008,the commuter,2,7,6,25
1009,man on a ledge,2,2,6,5
1010,vertical limit,2,0,9,7
1011,zoolander 2,2,0,15,4
1012,nerve,2,0,4,156
1013,the score,2,2,9,3
1014,transporter 2,2,2,6,5
1015,lionheart,2,2,9,3
1016,no way out,2,2,9,3
1017,the collector,2,16,6,443
1018,a most violent year,2,2,9,3
1019,pompeii,2,0,9,7
1020,abraham lincoln: vampire hunter,2,13,10,88
1021,absolute power,2,2,9,3
1022,monsters vs. aliens,4,3,3,286
1023,hardcore henry,2,0,16,1
1024,mystery men,2,1,8,42
1025,street kings,2,2,6,5
1026,charlie's angels: full throttle,2,0,15,4
1027,bubble,4,3,3,286
1028,the tax collector,2,2,9,3
1029,tango &amp; cash,2,1,4,6
1030,red one,2,0,15,4
1031,jason x,2,16,16,391
1032,brick,2,2,9,3
1033,national treasure 3,2,0,18,2
1034,valhalla rising,2,0,9,7
1035,star trek: first contact,2,0,9,7
1036,3 ninjas,2,1,18,60
1037,iron eagle,2,9,2,491
1038,vampire academy,2,1,9,26
1039,ying xiong,2,0,9,7
1040,le pacte des loups,2,0,9,7
1041,taken 2,2,2,6,5
1042,the brothers grimm,2,0,15,4
1043,the purge: anarchy,2,16,16,391
1044,the postman,2,0,9,7
1045,gun monkeys,2,2,6,5
1046,warhunt,2,16,6,443
1047,48 hrs.,2,1,4,6
1048,beckett,2,2,9,3
1049,"shin seiki evangelion gekijô-ban: air/magokoro wo, kimi ni",4,3,9,18
1050,jason and the argonauts,2,0,18,2
1051,star trek vi: the undiscovered country,2,0,16,1
1052,the rhythm section,2,15,5,22
1053,how it ends,2,15,5,22
1054,the getaway,2,2,6,5
1055,heist,2,2,9,3
1056,the lady of heaven,2,15,7,379
1057,the spy who dumped me,2,0,15,4
1058,finding 'ohana,2,0,15,4
1059,escape from alcatraz,2,12,4,10
1060,rise of the teenage mutant ninja turtles,4,3,3,286
1061,the towering inferno,2,15,6,16
1062,max steel,2,0,8,21
1063,the last stand,2,9,19,390
1064,morgan,2,16,16,391
1065,bullitt,2,2,6,5
1066,bait,2,13,10,88
1067,earth vs. the flying saucers,2,16,16,391
1068,superman iii,2,0,15,4
1069,pathfinder,2,0,9,7
1070,el cuerpo,2,2,9,3
1071,the grey,2,0,9,7
1072,doragon bôru chô: burorî,4,3,3,286
1073,four brothers,2,2,9,3
1074,beomjoidosi,2,2,6,5
1075,epic,4,3,3,286
1076,war horse,2,0,9,7
1077,the witcher: nightmare of the wolf,4,3,3,286
1078,nordsjøen,2,15,6,16
1079,the interpreter,2,2,6,5
1080,horizon line,2,0,9,7
1081,timeline,2,0,16,1
1082,teenage mutant ninja turtles ii: the secret of the ooze,2,0,15,4
1083,battlefield earth,2,0,16,1
1084,the lego movie 2: the second part,4,3,3,286
1085,gamer,2,4,6,140
1086,battle: los angeles,2,0,16,1
1087,payback,2,2,9,3
1088,red 2,2,1,4,6
1089,this means war,2,1,0,8
1091,hard target,2,2,6,5
1092,posledniy bogatyr,2,0,15,4
1093,seventh son,2,0,8,21
1094,self/less,2,7,16,34
1095,space cowboys,2,0,6,313
1096,flushed away,4,3,3,286
1097,haywire,2,15,6,16
1099,the american,2,2,9,3
1100,judge dredd,2,2,16,474
1101,war,2,2,6,5
1102,above the law,2,2,9,3
1103,run all night,2,2,6,5
1104,dungeons &amp; dragons,2,0,8,21
1105,filth,2,1,4,6
1106,six days seven nights,2,0,15,4
1107,the finest hours,2,15,7,379
1108,harley davidson and the marlboro man,2,2,9,3
1109,executive decision,2,0,6,313
1110,the karate kid part iii,2,15,18,305
1111,bølgen,2,15,6,16
1112,galveston,2,2,9,3
1113,pete's dragon,2,0,15,4
1114,entrapment,2,2,0,83
1115,knights of the zodiac,2,0,9,7
1116,the bounty hunter,2,1,0,8
1117,the war of the worlds,2,4,6,140
1118,priest,2,0,8,21
1119,the long kiss goodnight,2,2,9,3
1120,the legend of zorro,2,0,0,282
1121,the program,2,15,0,14
1122,fast &amp; feel love,2,1,9,26
1123,hummingbird,2,2,9,3
1124,the wraith,2,16,0,89
1125,catwoman,2,2,8,62
1126,wolves,2,13,10,88
1127,spies in disguise,4,3,3,286
1128,criminal,2,4,6,140
1129,rise of the footsoldier,2,12,4,10
1130,dancing ninja,2,1,4,6
1131,one for the money,2,1,4,6
1132,superman iv: the quest for peace,2,0,16,1
1133,medieval,2,15,7,379
1134,lola rennt,2,2,6,5
1135,gangs of wasseypur,2,1,4,6
1136,to live and die in l.a.,2,2,9,3
1137,darkman,2,4,6,140
1138,the phantom,2,0,15,4
1139,centauro,2,0,4,156
1140,yip man 4,2,12,9,17
1141,anthropoid,2,12,9,17
1142,assassins,2,2,6,5
1143,courage under fire,2,15,5,22
1144,next,2,4,6,140
1145,elektra,2,0,4,156
1146,doa: dead or alive,2,0,5,52
1147,after the sunset,2,1,4,6
1148,extreme prejudice,2,2,9,3
1149,under siege 2: dark territory,2,0,6,313
1150,trauma,2,15,10,235
1152,shanghai noon,2,0,15,4
1153,lethal weapon 3,2,2,6,5
1154,metal gear solid,2,0,16,1
1155,star trek iv: the voyage home,2,0,15,4
1156,the girl with all the gifts,2,0,9,7
1157,centurion,2,15,7,379
1158,dangerous,2,5,6,61
1159,live die repeat and repeat,2,0,16,1
1160,hold the dark,2,15,6,16
1161,let's be cops,2,1,4,6
1162,the sleepover,2,0,15,4
1163,1941,2,1,2,39
1164,boku no hero academia: world heroes mission,4,3,3,286
1165,ride along,2,1,4,6
1166,wrath of the titans,2,0,8,21
1168,grosse pointe blank,2,1,4,6
1169,species ii,2,16,16,391
1170,the 6th day,2,7,16,34
1171,meng long guo jiang,2,0,15,4
1172,star wars: the clone wars,4,3,3,286
1173,kickboxer,2,6,6,92
1174,venom 3,2,0,16,1
1175,behind enemy lines,2,15,6,16
1176,running scared,2,1,4,6
1177,mayhem,2,1,10,23
1178,broken arrow,2,0,6,313
1179,paycheck,2,7,16,34
1180,the darkest minds,2,0,9,7
1181,ajeossi,2,2,9,3
1182,vanishing point,2,2,6,5
1184,the core,2,0,16,1
1185,skyscraper,2,0,6,313
1186,badlands,2,2,9,3
1187,killers,2,1,0,8
1190,passenger 57,2,2,6,5
1191,assault on precinct 13,2,2,6,5
1192,koroshiya 1,2,2,9,3
1193,daylight,2,0,9,7
1194,the retirement plan,2,1,4,6
1195,eagle eye,2,7,6,25
1196,spy kids 2: island of lost dreams,2,0,15,4
1197,alpha,2,0,9,7
1198,star trek: nemesis,2,0,16,1
1200,captive state,2,16,16,391
1201,lone wolf mcquade,2,2,9,3
1202,tmnt,4,3,3,286
1203,the rover,2,2,9,3
1204,keanu,2,1,4,6
1205,special delivery,2,2,6,5
1206,kimetsu no yaiba: tsuzumi yashiki hen,4,3,8,50
1207,death race 2000,2,1,16,121
1208,stuber,2,1,4,6
1209,code 8,2,2,9,3
1210,drillbit taylor,2,1,4,6
1211,kangaroo jack,2,0,15,4
1212,the lord of the rings: the war of the rohirrim,4,3,3,286
1213,magnum force,2,2,5,37
1214,the professionals,2,0,19,425
1215,tres metros sobre el cielo,2,15,0,14
1216,untitled mad max project,2,0,16,1
1217,parker,2,2,6,5
1218,the sword and the sorcerer,2,0,8,21
1219,yôjinbô,2,15,6,16
1220,the hunted,2,2,9,3
1221,blowback,2,2,6,5
1222,sans répit,2,2,6,5
1223,fistful of vengeance,2,2,9,3
1224,chain reaction,2,15,16,27
1225,tristan + isolde,2,15,0,14
1226,crank: high voltage,2,2,6,5
1227,paul blart: mall cop,2,1,4,6
1228,the taking of pelham 123,2,2,6,5
1229,the purge: election year,2,16,16,391
1230,johnny english strikes again,2,0,15,4
1231,sword in the desert,2,15,7,379
1232,eye in the sky,2,15,6,16
1233,chugyeokja,2,2,9,3
1234,cop out,2,1,4,6
1235,zoom,2,0,15,4
1237,thar,2,2,9,3
1238,ghosts of mars,2,16,16,391
1239,around the world in 80 days,2,0,15,4
1240,backtrace,2,15,6,16
1241,carriers,2,0,9,7
1242,lethal weapon 4,2,2,6,5
1243,kursk,2,0,9,7
1244,the black cauldron,4,3,3,286
1245,united 93,2,15,7,379
1246,shin gojira,2,15,10,235
1247,the monster squad,2,1,8,42
1248,kill bill: the whole bloody affair,2,2,6,5
1249,cell,2,0,10,459
1250,the killer elite,2,2,6,5
1251,vikram,2,0,16,1
1252,destroyer,2,2,9,3
1253,apex,2,4,6,140
1254,deep rising,2,0,10,459
1255,kill me three times,2,1,4,6
1256,iron sky,2,0,15,4
1257,dracula 2000,2,13,10,88
1258,above suspicion,2,12,4,10
1259,the equalizer 3,2,2,6,5
1260,get carter,2,2,6,5
1261,the outsider,2,2,9,3
1262,the spirit,2,2,8,62
1263,we die young,2,2,9,3
1264,rim of the world,2,0,15,4
1265,sabotage,2,2,9,3
1266,how i live now,2,0,9,7
1267,kuttavum shikshayum,2,2,9,3
1268,sudden impact,2,2,6,5
1269,alex cross,2,2,5,37
1270,kill bill: vol. 3,2,2,6,5
1271,enemy mine,2,0,9,7
1272,the taking of pelham one two three,2,2,6,5
1273,captain underpants: the first epic movie,4,3,3,286
1274,ek villain returns,2,5,6,61
1275,the baytown outlaws,2,1,4,6
1276,the quest,2,0,9,7
1277,ladki: enter the girl dragon,2,15,0,14
1278,kill list,2,2,10,45
1279,rogue squadron,2,0,9,7
1280,inside man: most wanted,2,2,6,5
1281,harriet,2,12,9,17
1282,punisher: war zone,2,2,9,3
1283,untitled taika waititi star wars film,2,0,8,21
1284,walking tall,2,12,4,10
1285,the delta force,2,0,9,7
1286,batman: the killing joke,4,3,4,57
1287,30 minutes or less,2,1,4,6
1288,blue streak,2,1,4,6
1289,the siege of robin hood,2,0,8,21
1290,free fire,2,1,4,6
1291,the legend of hercules,2,0,8,21
1292,the toxic avenger,2,1,10,23
1293,bad boys 4,2,0,15,4
1294,bring me the head of alfredo garcia,2,2,9,3
1295,ben-hur,2,0,9,7
1296,outside the wire,2,0,8,21
1297,battle beyond the stars,2,0,16,1
1298,transporter 3,2,2,6,5
1299,castle keep,2,1,9,26
1300,conspiracy theory,2,7,6,25
1301,miss bala,2,2,9,3
1302,toy soldiers,2,15,6,16
1303,voyage to the bottom of the sea,2,0,16,1
1304,from paris with love,2,2,6,5
1305,bloody hell,2,1,10,23
1306,the batman 2,2,2,9,3
1307,volcano,2,15,16,27
1308,deathstalker,2,0,8,21
1309,where eagles dare,2,0,2,457
1310,attack the block,2,0,15,4
1311,gong fu yu jia,2,0,15,4
1312,outbreak,2,15,6,16
1313,lucky day,2,1,4,6
1314,danger close: the battle of long tan,2,15,2,291
1315,hennessy,2,15,6,16
1316,the marine,2,1,9,26
1317,mortal kombat: annihilation,2,0,8,21
1318,the green hornet,2,1,4,6
1319,set it off,2,2,9,3
1320,the happytime murders,2,1,4,6
1321,blue thunder,2,2,9,3
1322,star trek iii: the search for spock,2,0,16,1
1323,dragonheart,2,0,8,21
1324,letters from iwo jima,2,0,9,7
1325,the way of the gun,2,2,9,3
1326,the specialist,2,15,6,16
1327,maneater,2,16,6,443
1328,snitch,2,15,6,16
1329,new jack city,2,2,9,3
1330,blinkende lygter,2,1,4,6
1331,the siege of jadotville,2,15,7,379
1332,osmosis jones,4,3,3,286
1333,key largo,2,2,9,3
1334,spectral,2,0,16,1
1335,memphis belle,2,15,2,291
1336,batman: the movie,2,0,15,4
1337,the courier,2,2,9,3
1338,supergirl,2,0,8,21
1339,spy kids 4: all the time in the world,2,0,15,4
1340,the first purge,2,16,16,391
1341,naya legend of the golden dolphin,4,3,3,286
1342,the last train to new york,2,16,6,443
1343,blood and bone,2,2,9,3
1344,superbob,2,1,0,8
1345,red heat,2,1,4,6
1346,the golden voyage of sinbad,2,0,8,21
1347,we own the night,2,2,9,3
1348,the lego ninjago movie,4,3,3,286
1349,red state,2,2,10,45
1350,jiu jitsu,2,4,6,140
1351,colors,2,2,9,3
1352,the last legion,2,0,7,58
1353,straw dogs,2,15,6,16
1354,ai amu a hîrô,2,1,10,23
1355,runaway train,2,0,9,7
1356,season of the witch,2,0,8,21
1358,mugen no jûnin,2,15,8,335
1359,tales from the crypt: demon knight,2,13,10,88
1360,the sea chase,2,15,2,291
1361,mission: impossible - dead reckoning - part two,2,0,6,313
1362,free state of jones,2,12,9,17
1363,kubo and the two strings,4,3,3,286
1364,superfly,2,2,6,5
1365,inspector gadget,2,0,15,4
1366,the forbidden kingdom,2,0,8,21
1367,cherry 2000,2,0,15,4
1368,murder mystery 2,2,1,4,6
1369,blitz,2,2,6,5
1370,collateral damage,2,15,6,16
1371,star trek: generations,2,0,5,52
1372,the substitute,2,2,9,3
1373,the kingdom,2,15,6,16
1375,robocop 3,2,2,16,474
1376,the golden child,2,0,15,4
1377,the wall,2,15,6,16
1378,romeo must die,2,2,6,5
1379,split second,2,2,10,45
1380,solomon kane,2,0,8,21
1381,titan a.e.,4,3,3,286
1382,mou gaan dou,2,2,9,3
1383,empire state,2,2,6,5
1384,d.e.b.s.,2,1,0,8
1385,sher shivraj,2,15,7,379
1386,the salvation,2,15,6,16
1387,silverton siege,2,2,9,3
1388,uss indianapolis: men of courage,2,15,7,379
1389,suzume no tojimari,4,3,3,286
1390,gone,2,0,5,52
1391,tomb raider 2,2,0,8,21
1392,first knight,2,0,9,7
1393,harsh times,2,2,9,3
1394,cyborg,2,4,6,140
1395,race to witch mountain,2,0,18,2
1396,in the name of the king: a dungeon siege tale,2,0,8,21
1397,virtuosity,2,2,16,474
1398,the pirates: the last royal treasure,2,0,15,4
1399,siu lam juk kau,2,1,8,42
1400,overdrive,2,0,4,156
1401,blood work,2,2,9,3
1402,hodejegerne,2,2,6,5
1403,the jewel of the nile,2,0,15,4
1404,stealth,2,0,16,1
1405,monsters of man,2,4,6,140
1406,the one,2,4,6,140
1407,speed kills,2,2,9,3
1408,blood ties,2,2,9,3
1409,ging chaat goo si,2,1,4,6
1410,star trek v: the final frontier,2,0,8,21
1411,nowhere to run,2,15,0,14
1412,dark angel,2,2,10,45
1413,arlington road,2,2,9,3
1414,class of 1984,2,2,9,3
1415,soldier,2,15,16,27
1416,atlas,2,0,9,7
1417,red planet,2,4,6,140
1418,hard to kill,2,2,9,3
1419,the kid who would be king,2,0,18,2
1420,cold skin,2,16,16,391
1421,stone cold,2,2,9,3
1422,killer elite,2,2,6,5
1423,reclaim,2,2,9,3
1424,striking distance,2,2,5,37
1425,cooties,2,1,10,23
1426,hotel artemis,2,2,9,3
1427,the four feathers,2,0,9,7
1428,flags of our fathers,2,0,9,7
1429,the hunter,2,12,15,246
1430,the last son,2,0,4,156
1431,liger,2,15,0,14
1432,monster trucks,2,0,15,4
1433,the division,2,4,6,140
1434,ek villain,2,2,9,3
1435,capricorn one,2,0,9,7
1436,appaloosa,2,2,9,3
1437,casualties of war,2,2,9,3
1438,the final countdown,2,0,16,1
1439,left behind,2,13,16,129
1440,cowboy ninja viking,2,0,15,4
1441,tropa de elite,2,2,9,3
1442,showdown in little tokyo,2,1,4,6
1443,northmen - a viking saga,2,15,7,379
1444,escape plan: the extractors,2,2,6,5
1445,the great raid,2,15,2,291
1446,american sicario,2,2,9,3
1447,chaos,2,2,9,3
1448,the kill team,2,12,9,17
1449,the collection,2,0,10,459
1450,dragonslayer,2,0,8,21
1451,national anthem,2,2,9,3
1452,the silencers,2,0,15,4
1453,shin evangelion gekijôban,4,3,9,18
1454,hamburger hill,2,15,6,16
1455,agent cody banks,2,0,15,4
1456,catwoman: hunted,4,3,4,57
1457,entebbe,2,15,7,379
1458,hudson hawk,2,0,15,4
1459,broken city,2,2,9,3
1460,taeksi woonjunsa,2,15,7,379
1461,the prophecy,2,2,9,3
1462,les vampires,2,0,4,156
1463,sound of freedom,2,12,9,17
1464,america: the motion picture,4,3,3,286
1465,freebie and the bean,2,1,4,6
1466,'71,2,2,9,3
1467,the aeronauts,2,0,9,7
1468,bad girls,2,0,0,282
1469,prime cut,2,2,9,3
1470,the kitchen,2,2,9,3
1471,max payne,2,0,4,156
1472,shershaah,2,12,9,17
1473,3000 miles to graceland,2,1,4,6
1474,hobo with a shotgun,2,1,10,23
1475,nick of time,2,2,9,3
1476,the omega man,2,15,16,27
1477,yip man 2,2,12,9,17
1478,big momma's house,2,1,4,6
1479,beverly hills cop 4,2,1,4,6
1480,into the storm,2,0,9,7
1481,game of death,2,2,9,3
1482,gladiator 2,2,0,9,7
1483,"batman: the long halloween, part two",4,3,4,57
1484,black water,2,0,9,7
1485,minnal murali,2,0,15,4
1486,bajocero,2,0,4,156
1487,escape plan 2: hades,2,2,5,37
1488,crocodile dundee ii,2,0,15,4
1489,supercool,2,1,4,6
1490,sphere,2,7,16,34
1491,vanguard,2,0,15,4
1492,congo,2,0,5,52
1493,tora! tora! tora!,2,15,7,379
1494,abduction,2,7,6,25
1495,superintelligence,2,1,0,8
1496,furioza,2,2,9,3
1497,slaughterhouse rulez,2,1,8,42
1498,bajirao mastani,2,15,7,379
1500,surf ninjas,2,0,15,4
1501,paid in full,2,2,9,3
1502,yaksha: ruthless operations,2,2,6,5
1503,lat sau san taam,2,2,6,5
1504,breach,2,16,16,391
1505,airport,2,15,6,16
1507,seungriho,2,0,9,7
1508,doom: annihilation,2,0,10,459
1509,anacondas: the hunt for the blood orchid,2,0,10,459
1511,teenage mutant ninja turtles iii,2,0,15,4
1512,beirut,2,2,9,3
1513,timecop,2,2,16,474
1514,the double,2,2,9,3
1515,security,2,2,6,5
1516,runaway,2,2,16,474
1518,juice,2,2,9,3
1519,babylon a.d.,2,0,16,1
1520,eight legged freaks,2,0,15,4
1521,vantage point,2,2,9,3
1522,zashchitniki,2,0,15,4
1523,death sentence,2,0,4,156
1524,nagwonui bam,2,2,9,3
1525,close,2,15,6,16
1526,galaxy of terror,2,0,10,459
1527,basic,2,2,9,3
1528,the eagle,2,0,9,7
1529,chang jin hu,2,15,7,379
1530,star trek: insurrection,2,0,16,1
1531,outland,2,2,16,474
1532,jûsan-nin no shikaku,2,0,9,7
1533,diabolik,2,2,5,37
1534,all is lost,2,0,9,7
1536,brick mansions,2,2,6,5
1537,raise the titanic,2,15,6,16
1538,the adventures of robin hood,2,0,0,282
1539,coonskin,4,3,15,66
1540,skyline,2,4,6,140
1541,mortal,2,0,9,7
1542,ladybug &amp; cat noir: awakening,4,3,3,286
1543,fatman,2,0,15,4
1544,the last victim,2,2,6,5
1545,battle of britain,2,15,7,379
1546,beast,2,1,6,49
1547,jane got a gun,2,15,19,53
1548,rurôni kenshin: meiji kenkaku roman tan,2,0,9,7
1549,shingeki no kyojin,2,0,9,7
1550,mongol,2,12,9,17
1551,"i, frankenstein",2,13,16,129
1552,driven,2,15,17,395
1553,feast,2,1,10,23
1554,hidalgo,2,0,14,124
1555,jing wu men,2,15,0,14
1556,"aguirre, der zorn gottes",2,0,14,124
1557,best of the best,2,15,17,395
1558,rising sun,2,2,9,3
1559,frauen für zellenblock 9,2,2,9,3
1560,survivor,2,2,6,5
1561,avatar 3,2,0,8,21
1562,deathstalker ii,2,0,15,4
1563,foxy brown,2,2,6,5
1564,breathless,2,15,0,14
1566,double dragon,2,0,15,4
1567,hhhh,2,12,6,112
1568,the general,2,0,15,4
1569,line of duty,2,2,6,5
1570,metro,2,1,4,6
1571,legend of the guardians: the owls of ga'hoole,4,3,3,286
1572,brooklyn's finest,2,2,9,3
1574,no retreat no surrender,2,1,4,6
1575,legend of the white dragon,2,13,16,129
1576,quigley down under,2,0,9,7
1577,the spy who never dies,2,1,6,49
1578,el mariachi,2,2,6,5
1579,acts of vengeance,2,15,6,16
1580,hot pursuit,2,1,4,6
1581,coogan's bluff,2,1,4,6
1582,the darkest hour,2,0,10,459
1583,bulletproof,2,1,4,6
1584,samurai cop,2,2,6,5
1585,maniac cop,2,2,10,45
1586,death hunt,2,0,4,156
1587,mercury rising,2,2,9,3
1588,sanctum,2,0,9,7
1589,bloodrayne,2,13,10,88
1590,ludo,2,1,4,6
1591,the lovebirds,2,1,4,6
1592,mogadisyu,2,15,6,16
1593,hypnotic,2,7,6,25
1594,a prayer before dawn,2,12,4,10
1595,muppet treasure island,2,0,15,4
1596,the fantastic four,2,0,18,2
1597,ghajini,2,15,5,22
1598,the transformers: the movie,4,3,3,286
1599,mahaan,2,15,6,16
1600,the tuxedo,2,1,16,121
1601,pursuit,2,15,6,16
1602,jimmy neutron: boy genius,4,3,3,286
1604,green ghost and the masters of the stone,2,0,15,4
1605,teen titans go! to the movies,4,3,3,286
1606,the next karate kid,2,15,18,305
1607,john wick: chapter 5,2,2,6,5
1608,jonah hex,2,15,8,335
1609,astro boy,4,3,3,286
1610,le dernier mercenaire,2,0,15,4
1611,the replacement killers,2,2,6,5
1612,angel,2,2,6,5
1613,the doorman,2,15,6,16
1614,nothing to lose,2,0,15,4
1615,hostage,2,2,9,3
1616,dead presidents,2,2,9,3
1617,trapped,2,2,9,3
1618,liu lang di qiu,2,0,16,1
1619,point of no return,2,2,9,3
1620,12 rounds,2,2,6,5
1621,shi mian mai fu,2,0,9,7
1622,waterloo,2,12,9,17
1623,gringo,2,1,4,6
1624,ride along 2,2,1,4,6
1625,jûbê ninpûchô,4,3,3,286
1626,skyfire,2,0,9,7
1627,spartan,2,2,9,3
1628,tekken,2,2,9,3
1629,scarface,2,2,9,3
1630,apache junction,2,0,4,156
1631,assassination games,2,2,9,3
1632,nou fo,2,0,4,156
1633,loaded weapon 1,2,1,4,6
1634,final fantasy: the spirits within,4,3,3,286
1635,thrashin',2,15,0,14
1636,bisang seoneon,2,15,6,16
1637,son of a gun,2,2,9,3
1638,kon-tiki,2,0,14,124
1639,armed and dangerous,2,1,4,6
1640,river of no return,2,0,9,7
1641,american ninja,2,0,0,282
1642,no escape,2,15,16,27
1643,highlander: endgame,2,0,8,21
1645,windtalkers,2,15,2,291
1646,firefox,2,0,6,313
1647,the art of self-defense,2,1,4,6
1648,bullet to the head,2,2,6,5
1649,dark tide,2,0,9,7
1650,skylines,2,0,16,1
1653,sutorîto faitâ ii gekijô-ban,4,3,3,286
1654,next gen,4,3,3,286
